Array_Size,Average_Time_Microseconds
10000,32.47
15000,59.776
20000,87.838
25000,90.05
30000,49.38
35000,153.272
40000,142.654
45000,190.62
50000,206.1
55000,240.554
60000,241.936
65000,289.686
70000,293.376
75000,302.078
80000,351.242
85000,346.256
90000,28.776
95000,424.56
100000,417.894
