Array_Size,Execution_Time(ns)
10000,0
15000,3756000
20000,12345000
25000,12782000
30000,10249000
35000,15951000
40000,15874000
45000,24274000
50000,25621000
55000,23070000
60000,36907000
65000,29788000
70000,33237000
75000,40613000
80000,41761000
85000,42101000
90000,43746000
95000,41824000
100000,57676000
