Array_Size,Execution_Time(ns)
10000,5646000
15000,6226000
20000,7727000
25000,13052000
30000,14935000
35000,6463000
40000,30608000
45000,60650000
50000,26271000
55000,27627000
60000,15957000
65000,31749000
70000,31719000
75000,47670000
80000,31768000
85000,40509000
90000,48221000
95000,42735000
100000,46638000
