Array_Size,Average_Time_ns
10000,106.19
15000,122.37
20000,119.51
25000,127.92
30000,103.91
35000,138.06
40000,140.07
45000,140.61
50000,118.73
55000,150.18
60000,133.53
65000,150.47
70000,152.39
75000,166.92
80000,133.81
85000,116.53
90000,134.39
95000,99.62
100000,154.51
