BINARY SEARCH ANALYSIS
Array Size = 13000
-------------------------------------------
Iteration	Key	Index	Time (sec)
-------------------------------------------
   1		  4785	Not Found	0.00000060000000000000
   2		  7475	Not Found	0.00000030000000000000
   3		 21642	 11282	0.00000050000000000000
   4		 24732	 12484	0.00000030000000000000
   5		 16915	Not Found	0.00000060000000000000
   6		  4934	Not Found	0.00000020000000000000
   7		 16005	  9009	0.00000020000000000000
   8		  6065	  4864	0.00000040000000000000
   9		   786	Not Found	0.00000060000000000000
  10		  1375	Not Found	0.00000020000000000000
  11		  9510	  6468	0.00000020000000000000
  12		 18394	Not Found	0.00000020000000000000
  13		  2071	  1652	0.00000020000000000000
  14		  3253	  2586	0.00000020000000000000
  15		  3993	Not Found	0.00000010000000000000
  16		  3297	Not Found	0.00000010000000000000
  17		  9299	Not Found	0.00000020000000000000
  18		   787	Not Found	0.00000010000000000000
  19		  4670	Not Found	0.00000010000000000000
  20		 25718	 12881	0.00000020000000000000
  21		 10404	  6828	0.00000020000000000000
  22		  3643	Not Found	0.00000030000000000000
  23		 12973	  7788	0.00000030000000000000
  24		  7859	Not Found	0.00000010000000000000
  25		   909	   753	0.00000010000000000000
  26		 12653	Not Found	0.00000020000000000000
  27		 19704	Not Found	0.00000020000000000000
  28		  7043	  5550	0.00000020000000000000
  29		 23121	 11863	0.00000040000000000000
  30		 13512	  8011	0.00000020000000000000
  31		 24112	Not Found	0.00000010000000000000
  32		  6575	  5255	0.00000020000000000000
  33		 11568	  7282	0.00000020000000000000
  34		  4000	  3181	0.00000020000000000000
  35		 22570	Not Found	0.00000020000000000000
  36		 11514	  7262	0.00000010000000000000
  37		   949	Not Found	0.00000020000000000000
  38		 10337	Not Found	0.00000020000000000000
  39		 25218	Not Found	0.00000030000000000000
  40		  4974	  3929	0.00000020000000000000
  41		 20911	Not Found	0.00000020000000000000
  42		  5907	Not Found	0.00000020000000000000
  43		 11489	  7252	0.00000020000000000000
  44		 17973	Not Found	0.00000010000000000000
  45		  1007	   835	0.00000030000000000000
  46		  8143	  5965	0.00000020000000000000
  47		 13948	Not Found	0.00000030000000000000
  48		 14141	Not Found	0.00000010000000000000
  49		  7057	  5552	0.00000010000000000000
  50		 23552	Not Found	0.00000020000000000000
  51		 11997	  7441	0.00000020000000000000
  52		  9334	  6406	0.00000020000000000000
  53		 14607	  8443	0.00000010000000000000
  54		  6989	  5529	0.00000020000000000000
  55		 21478	Not Found	0.00000020000000000000
  56		  3533	  2800	0.00000020000000000000
  57		  2658	  2121	0.00000030000000000000
  58		 10534	Not Found	0.00000010000000000000
  59		  2947	Not Found	0.00000010000000000000
  60		 18270	Not Found	0.00000010000000000000
  61		 24634	 12443	0.00000020000000000000
  62		  4253	Not Found	0.00000020000000000000
  63		 25599	Not Found	0.00000020000000000000
  64		  5717	Not Found	0.00000020000000000000
  65		  6512	Not Found	0.00000010000000000000
  66		 21112	Not Found	0.00000010000000000000
  67		 18986	 10210	0.00000020000000000000
  68		 13174	Not Found	0.00000010000000000000
  69		 21082	Not Found	0.00000020000000000000
  70		 16772	Not Found	0.00000010000000000000
  71		 15353	Not Found	0.00000010000000000000
  72		 12911	Not Found	0.00000010000000000000
  73		  9343	Not Found	0.00000010000000000000
  74		  5020	Not Found	0.00000020000000000000
  75		 14590	Not Found	0.00000010000000000000
  76		 17578	Not Found	0.00000020000000000000
  77		  3227	Not Found	0.00000010000000000000
  78		  8777	Not Found	0.00000020000000000000
  79		 10618	Not Found	0.00000020000000000000
  80		 18679	 10085	0.00000030000000000000
  81		  6213	  4976	0.00000010000000000000
  82		  5292	  4190	0.00000020000000000000
  83		  6432	  5165	0.00000020000000000000
  84		  4297	Not Found	0.00000010000000000000
  85		  1216	   994	0.00000010000000000000
  86		 20539	Not Found	0.00000010000000000000
  87		  3868	Not Found	0.00000010000000000000
  88		   671	Not Found	0.00000020000000000000
  89		  2351	  1881	0.00000020000000000000
  90		  1880	Not Found	0.00000020000000000000
  91		 10068	  6694	0.00000010000000000000
  92		 23046	Not Found	0.00000020000000000000
  93		 23036	Not Found	0.00000010000000000000
  94		  6184	Not Found	0.00000020000000000000
  95		 20718	Not Found	0.00000030000000000000
  96		  1134	Not Found	0.00000020000000000000
  97		   986	Not Found	0.00000020000000000000
  98		 12594	  7637	0.00000010000000000000
  99		 22034	 11449	0.00000010000000000000
 100		  4474	  3541	0.00000010000000000000
 101		 17689	Not Found	0.00000010000000000000
 102		  3302	  2615	0.00000010000000000000
 103		  4337	  3445	0.00000010000000000000
 104		 10284	  6788	0.00000010000000000000
 105		  5978	Not Found	0.00000020000000000000
 106		  3681	  2923	0.00000010000000000000
 107		  3190	  2545	0.00000010000000000000
 108		  1040	   855	0.00000020000000000000
 109		 25893	Not Found	0.00000010000000000000
