Array_Size,Average_Time_ns
10000,41496.2
15000,73198.8
20000,89106.9
25000,109917
30000,354009
35000,406590
40000,506653
45000,552761
50000,678593
55000,574573
60000,812088
65000,746822
70000,539748
75000,323725
80000,341859
85000,357500
90000,374276
95000,393144
100000,420335
