Array_Size,Average_Time_Microseconds
8000,115.727
12000,161.533
16000,234.837
20000,282.403
24000,298.17
28000,449.703
32000,437.767
36000,477.487
40000,622.903
44000,621.58
48000,798.217
52000,797.463
56000,789.99
60000,933.877
64000,1381.04
68000,1269.59
72000,1173.04
76000,1225.97
80000,1257.76
