Number_of_Items,Execution_Time(ns)
10000,3465500
15000,4523500
20000,7525300
25000,9907300
30000,10629800
35000,13379300
40000,14905000
45000,16698300
50000,18755200
55000,20826400
60000,22348600
65000,30187100
70000,30126400
75000,26423300
80000,31967000
85000,32049200
90000,33574300
95000,37342600
100000,37778200
