Number_of_Items,Execution_Time(ns)
10000,2951500
15000,6064700
20000,7605700
25000,9383300
30000,10909200
35000,12703800
40000,14954900
45000,18344600
50000,18017900
55000,21994800
60000,21893600
65000,27308200
70000,28263500
75000,27962300
80000,29736200
85000,39361100
90000,34406100
95000,36426300
100000,37976900
