Number_of_Items,Execution_Time(ns)
10000,3476100
15000,5514300
20000,7435100
25000,7765400
30000,11402900
35000,12010500
40000,13579500
45000,15374900
50000,17534600
55000,17942200
60000,23290800
65000,25150100
70000,28145900
75000,26863800
80000,31901000
85000,32375900
90000,34647100
95000,36605200
100000,35524300
