Array_Size,Partition_N,Sample_Key,Found,Time_ns
90000,13,758179,Found,0
90000,13,315266,Found,0
90000,13,578869,Found,0
90000,13,268578,Found,0
90000,15,625169,Found,0
90000,15,734158,Found,0
90000,15,624903,Found,0
90000,15,675747,Found,0
90000,15,539150,Found,0
90000,17,722260,Found,0
90000,17,202311,Found,0
90000,17,472722,Found,0
90000,17,922016,Found,0
90000,17,596216,Found,0
90000,19,719000,Found,0
90000,19,836639,Found,0
90000,19,411037,Found,0
90000,19,439822,Found,0
90000,19,847760,Found,0
100000,2,163393,Found,0
100000,2,787610,Found,0
100000,2,744878,Found,0
100000,2,802064,Found,0
100000,2,683474,Found,0
100000,3,209018,Found,0
100000,3,227644,Found,0
100000,3,149587,Found,0
100000,3,119999,Found,0
100000,3,475642,Found,0
100000,5,897480,Found,0
100000,5,123514,Found,0
100000,5,299860,Found,0
100000,5,657416,Found,0
100000,5,663743,Found,0
100000,7,971115,Found,0
100000,7,464836,Found,0
100000,7,509240,Found,0
100000,7,512817,Found,0
100000,7,744943,Found,0
100000,9,920208,Found,0
100000,9,187566,Found,0
100000,9,15380,Found,0
100000,9,38185,Found,0
100000,9,600328,Found,0
100000,11,376486,Found,0
100000,11,179335,Found,0
100000,11,378239,Found,0
100000,11,913233,Found,0
100000,11,289986,Found,0
100000,13,15318,Found,0
100000,13,876326,Found,0
100000,13,938421,Found,0
100000,13,226762,Found,0
100000,13,861672,Found,0
100000,15,969930,Found,0
100000,15,257402,Found,0
100000,15,877192,Found,0
100000,15,497519,Found,0
100000,15,595492,Found,0
100000,17,792239,Found,0
100000,17,141772,Found,0
100000,17,492014,Found,0
100000,17,906243,Found,0
100000,17,752839,Found,0
100000,19,770825,Found,0
100000,19,489822,Found,0
100000,19,279532,Found,0
100000,19,582064,Found,0
100000,19,597942,Found,0
